mode: count
coverage-demo/arrayutils.go:6.52,7.15 1 7
coverage-demo/userservice.go:45.2,58.18 5 23
coverage-demo/userservice.go:62.61,64.13 2 3
coverage-demo/userservice.go:64.13,66.3 1 2
coverage-demo/userservice.go:67.2,67.18 1 1
coverage-demo/userservice.go:71.104,73.13 2 9
coverage-demo/userservice.go:73.13,75.3 1 1
coverage-demo/userservice.go:77.2,77.26 1 8
coverage-demo/userservice.go:77.26,79.3 1 2
coverage-demo/userservice.go:80.2,80.36 1 6
coverage-demo/userservice.go:80.36,82.3 1 1
coverage-demo/userservice.go:84.2,84.17 1 5
coverage-demo/userservice.go:84.17,86.3 1 2
coverage-demo/userservice.go:87.2,87.16 1 5
coverage-demo/userservice.go:87.16,89.3 1 2
coverage-demo/userservice.go:90.2,93.18 3 5
coverage-demo/userservice.go:97.51,98.39 1 3
coverage-demo/userservice.go:98.39,100.3 1 1
coverage-demo/userservice.go:101.2,102.12 2 2
coverage-demo/userservice.go:106.45,108.31 2 3
coverage-demo/userservice.go:108.31,110.3 1 6
coverage-demo/userservice.go:111.2,111.14 1 3
coverage-demo/userservice.go:115.48,117.31 2 2
coverage-demo/userservice.go:117.31,118.20 1 6
coverage-demo/userservice.go:118.20,120.4 1 3
coverage-demo/userservice.go:122.2,122.14 1 2
coverage-demo/userservice.go:126.70,128.31 2 4
coverage-demo/userservice.go:128.31,129.47 1 16
coverage-demo/userservice.go:129.47,131.4 1 8
coverage-demo/userservice.go:133.2,133.14 1 4
coverage-demo/userservice.go:137.63,139.31 2 4
coverage-demo/userservice.go:139.31,140.33 1 16
coverage-demo/userservice.go:140.33,142.4 1 9
coverage-demo/userservice.go:144.2,144.14 1 4
coverage-demo/userservice.go:148.40,150.2 1 4
